"citric acid","chlorides","pH","alcohol","quality"
"citric acid","chlorides","pH","alcohol","quality"
0.41,0.033,2.99,12,5
0.4,0.035,3.14,9.7,5
0.37,0.04,3.18,10.8,5
0.62,0.04,2.98,9.7,5
0.14,0.044,3.22,9.5,5
0.14,0.074,3.05,9.3,5
0.2,0.044,3.37,10.2,5
0.43,0.08,3.19,12.8,5
0.23,0.051,3.24,10,5
0.39,0.057,3.21,8.6,5
0.39,0.057,3.21,8.6,5
0.26,0.063,3.27,9.8,4
0.25,0.066,3.25,9.8,5
0.35,0.067,3.36,9.8,5
0.07,0.035,3.02,10.5,5
0.03,0.064,3.22,9.1,5
0.13,0.041,3.14,9.8,5
0.29,0.05,3.13,9.5,5
0.23,0.061,3.32,9.5,5
0.28,0.063,3.69,10,5
0.29,0.05,3.13,9.5,5
0.3,0.064,2.94,9.3,5
0.28,0.06,3.27,9,5
0.2,0.063,3.17,10,5
0.61,0.045,3.11,8.7,5
0.61,0.045,3.11,8.7,5
0.43,0.049,3.12,9,5
0.46,0.038,2.89,10.1,4
0.37,0.06,3,9.1,5
0.32,0.054,3.4,9.4,5
0.24,0.05,3.34,9.4,5
0.4,0.059,2.99,9,5
0.37,0.06,3,9.1,5
0.32,0.054,3.4,9.4,5
0.28,0.051,3.27,10.3,5
0.46,0.052,3.04,8.9,5
0.5,0.056,3.01,9.2,5
0.34,0.049,3.22,9.1,5
0.34,0.049,3.22,9.1,5
0,0.065,3.63,9.7,4
0.5,0.056,3.01,9.2,5
0.48,0.06,3.04,9.2,5
0.04,0.046,3.22,10.2,5
0.32,0.054,3.01,8.8,5
0.31,0.059,3.29,9.7,5
0.23,0.033,3.14,10.5,5
0.25,0.02,3.39,10.6,5
0.4,0.038,3.23,9,5
0.27,0.035,3.24,9.2,5
0.22,0.034,3.19,8.9,5
0.31,0.036,3.26,9.6,5
0.67,0.045,3.16,8.7,5
0.34,0.045,3.3,10.2,5
0.67,0.045,3.16,8.7,5
0.14,0.058,3.38,9,4
0.41,0.048,3.14,10.4,5
0.56,0.055,2.98,9.1,5
0.3,0.049,3.28,10.6,5
0.35,0.05,3.15,9.5,5
0.36,0.051,3.16,9.8,5
0.31,0.055,3.08,9.3,5
0.48,0.034,2.87,10,5
0.37,0.037,3.03,11.4,4
0.31,0.051,3.09,10.2,5
0.47,0.044,3.03,12.6,4
0.3,0.054,3.28,9.4,5
0.07,0.06,3.11,8.7,4
0.15,0.053,3.09,9.2,5
0.4,0.048,2.93,8.7,5
0.56,0.043,3.02,9.3,5
0.56,0.043,3.02,9.3,5
0.23,0.038,3.15,11,5
0.28,0.047,3.09,8.9,4
0.4,0.048,2.93,8.7,5
0.34,0.055,3.36,9.6,5
0.44,0.2,3.02,9.1,5
0.44,0.197,3.01,9.1,5
0.24,0.052,3.13,8.9,5
0.24,0.05,3.1,8.8,5
0.24,0.052,3.13,8.9,5
0.26,0.049,3.15,9.3,5
0.24,0.05,3.1,8.8,5
0.32,0.05,3.2,9.6,5
0.35,0.053,3.28,10.2,4
0.5,0.042,3.15,8.8,5
0.32,0.045,3.21,9.2,5
0.88,0.049,2.99,9.9,4
0.29,0.04,3.32,10.2,5
0.25,0.032,3.31,10.5,5
0.32,0.045,3.21,9.2,5
0.24,0.044,3.31,9.4,5
0.36,0.036,3.03,11,5
0.24,0.044,3.31,9.4,5
0.24,0.044,3.31,9.4,5
0.36,0.036,3.04,11,5
0.36,0.036,3.03,11,5
0.41,0.046,3.32,8.7,5
0.41,0.046,3.32,8.7,5
0.08,0.062,3.37,8.9,4
0.23,0.05,3.2,8.7,5
0.26,0.031,3.13,10.4,5
0.56,0.043,3.14,8.7,5
0.14,0.037,3.38,10,5
0.28,0.053,3.72,10,4
0.21,0.074,3.02,9.8,3
0.56,0.043,3.14,8.7,5
0.44,0.029,3.53,11.7,3
0.38,0.037,3.28,11.4,4
0.4,0.043,2.93,8.9,5
0.4,0.036,3.17,10.2,5
0.4,0.043,2.93,8.9,5
0.07,0.043,3.34,9.7,5
0.07,0.044,3.33,9.7,5
0.26,0.051,3.29,9.3,5
0.3,0.057,3.24,9,5
0.54,0.046,3.05,9.5,5
0.4,0.042,2.89,10.6,5
0.34,0.044,3.05,10.6,4
0.37,0.047,3.08,10.5,4
0.3,0.054,3.19,9.3,5
0.24,0.055,3.12,8.8,5
0.25,0.056,3.08,8.8,5
0.42,0.066,2.96,9.1,5
0.38,0.066,3.23,8.5,3
0.7,0.045,3.09,9.4,5
0.24,0.058,3.2,9.9,5
0.21,0.04,3.29,10,5
0.35,0.031,3.19,10.5,5
0.35,0.031,3.19,10.5,5
0.51,0.046,3.02,11.4,5
0.31,0.057,3.18,10.5,5
0.41,0.036,3.17,10.4,5
0.34,0.032,3.2,10.6,5
0.34,0.038,3.11,9.8,5
0.26,0.031,3.25,10.8,5
0.4,0.047,3.45,10.4,5
0.47,0.053,3.29,10,5
0.45,0.054,3.15,10,5
0.14,0.055,3.15,8.9,5
0.35,0.044,3.17,11.6,5
0.19,0.048,3.34,10,5
0.35,0.04,3.12,10.1,5
0.32,0.031,3.1,10.6,5
0.51,0.044,3.19,8.8,5
0.12,0.04,3.18,10,5
0.42,0.031,3.09,11.4,5
0.27,0.048,3.35,9.4,5
0.51,0.044,3.19,8.8,5
0.07,0.069,3.23,9.2,5
0.31,0.046,3.07,8.7,5
0.12,0.04,3.18,10,5
0.24,0.049,3.17,9.4,5
0.42,0.031,3.09,11.4,5
0.39,0.036,3.16,10.5,5
0.39,0.036,3.16,10.5,5
0.22,0.047,3.1,9,5
0.5,0.053,3.09,9.4,5
0.27,0.051,3.06,9.1,5
0.47,0.056,3.1,9.3,5
0.5,0.053,3.09,9.4,5
0.1,0.048,3.21,9.8,5
0.09,0.108,3.07,9.2,4
0.32,0.042,3.27,9.8,5
0.04,0.06,3.26,9.2,5
0.32,0.038,3.24,11.5,3
0.27,0.054,3.53,12.4,5
0.2,0.07,3.03,9.1,5
0.25,0.038,3.24,10.1,5
0.27,0.056,2.95,9.5,5
0.35,0.059,3.37,8.5,5
0.27,0.056,2.95,9.5,5
0.29,0.047,3.22,9.3,5
0.19,0.047,3.35,9.5,5
0.62,0.047,3.16,8.7,5
0.58,0.081,2.95,8.9,5
0.62,0.047,3.16,8.7,5
0.53,0.047,3.09,9.6,5
0.34,0.036,3.14,10,5
0.51,0.029,3.03,9.5,5
0.34,0.043,3.22,9.2,5
0.24,0.044,3.34,9.5,5
0.34,0.043,3.22,9.2,5
0.3,0.346,3.29,9.6,5
0.62,0.041,3.08,8.6,4
0.34,0.04,3.27,10,5
0.62,0.041,3.08,8.6,4
0.29,0.037,3.19,9.9,5
0.26,0.09,3.01,8.8,5
0.37,0.055,3.08,9.1,5
0.34,0.048,3.19,11.7,5
0.26,0.039,3.05,9.8,5
0.26,0.039,3.05,9.8,5
0.37,0.038,3.37,11.4,5
0.46,0.04,3.04,12.5,4
0.48,0.186,3.06,9.3,5
0.51,0.047,3.09,9.1,5
0.51,0.047,3.09,9.1,5
0.3,0.045,3.31,10.4,5
0.31,0.04,3.46,11.4,4
0.65,0.05,3.16,8.7,5
0.65,0.05,3.16,8.7,5
0.71,0.046,2.98,9.4,5
0.24,0.044,3.25,9.5,5
0.1,0.057,3.24,10.1,5
0.3,0.066,3.2,9.1,5
0.5,0.048,3.08,9.8,5
0.66,0.051,3.05,8.7,5
0.54,0.047,3.04,8.8,5
0.66,0.051,3.05,8.7,5
0.22,0.042,3.35,9.4,5
0.5,0.059,2.94,9.1,5
0.33,0.043,3.2,9.4,5
0.07,0.03,2.97,10.8,5
0.06,0.03,2.97,10.8,5
0.33,0.043,3.2,9.4,5
0.07,0.03,2.97,10.8,5
0.06,0.03,2.97,10.8,5
0.29,0.049,3.43,9.6,5
0.29,0.049,3.43,9.6,5
0.25,0.044,3.34,9.5,5
0.68,0.047,2.99,8.8,5
0.68,0.045,3,8.7,5
0.68,0.045,3,8.7,5
0.68,0.047,2.99,8.8,5
0.41,0.084,3.18,9,5
0.43,0.083,2.85,9,5
0.34,0.045,3.23,11.4,5
0.06,0.066,3.26,9.3,5
0.12,0.096,3.32,9.1,4
0.42,0.05,3.22,8.8,5
0.42,0.05,3.22,8.8,5
0.2,0.045,3.33,9.5,5
0.25,0.053,3.1,9.2,5
0.14,0.046,3.3,10.3,5
0.14,0.046,3.3,10.3,5
0.25,0.054,3.25,9,4
0.28,0.05,3.31,9.5,5
0.29,0.051,3.31,9.5,5
0.25,0.058,3.24,9,5
0.72,0.061,3.09,9.5,4
0.12,0.041,3.16,10,5
0.21,0.05,3.25,10.2,5
0.25,0.052,3.24,11.3,5
0.16,0.038,3.15,10,4
0.26,0.049,3.15,9.4,5
0.1,0.094,3.4,9.2,4
0.26,0.049,3.15,9.4,5
0.22,0.056,3.28,9.5,5
0.5,0.047,3.18,9.3,5
0.5,0.047,3.08,9.4,5
0.14,0.043,3.17,10,5
0.69,0.058,3.06,9.7,5
0.32,0.24,3.12,9.4,5
0.31,0.052,3.03,11.2,5
0.26,0.051,3.25,9,5
0.3,0.29,3.08,9,4
0.34,0.043,3.31,10.1,4
0.16,0.036,3.17,9.8,5
0.14,0.036,3.17,9.8,5
0.28,0.047,3.23,9.5,5
0.51,0.039,3.06,9.5,5
0.51,0.039,3.06,9.5,5
0.48,0.042,3.06,9.4,5
0.7,0.042,3.06,9.7,5
0.18,0.042,3.22,10.1,4
0.46,0.032,2.89,10.9,5
0.21,0.041,3.15,10,5
0.21,0.044,3.14,9.2,5
0.24,0.046,3.35,9.5,5
0.39,0.04,3.32,10,5
0.41,0.042,2.96,9.1,5
0.44,0.053,3.02,8.9,5
0.44,0.046,3.5,10.4,5
0.21,0.041,3.15,10.2,5
0.34,0.057,2.99,9.4,5
0.31,0.043,3.35,10.5,5
0.27,0.185,3.12,9.4,5
0.25,0.04,3.28,9.2,5
0.25,0.04,3.28,9.2,5
0.4,0.022,3.31,12.6,3
0.25,0.034,3.33,9.4,5
0.27,0.041,3.17,10,5
0.47,0.11,3.09,9.1,5
0.28,0.056,3.42,9.5,5
0.49,0.057,3,8.7,5
0.63,0.078,3.08,9.2,5
0.3,0.039,3.4,9.4,5
0.19,0.052,3.12,9,5
0,0.042,3.37,11.2,4
0.19,0.052,3.12,9,5
0.08,0.046,3.1,10,5
0.27,0.049,3.03,9.3,5
0.26,0.05,3.09,9,5
0.49,0.048,3.19,9.3,5
0.35,0.044,3.07,9.3,5
0.26,0.046,3.17,9.6,5
0.49,0.048,3.19,9.3,5
0.17,0.04,3.01,9,5
0.42,0.036,3.16,11.7,5
0.22,0.034,3.2,9.1,5
0.17,0.04,3.01,9,5
0.22,0.034,3.2,9.1,5
0.21,0.053,3.3,9.4,5
0.42,0.036,3.16,11.7,5
0.4,0.037,3.05,11.5,4
0.37,0.035,3.02,9.3,5
0.27,0.026,3.08,10.8,5
0.49,0.042,3.1,9.4,5
0.58,0.039,3.06,8.6,5
0.49,0.042,3.1,9.4,5
0.48,0.042,3.1,9.4,5
0.3,0.17,3.18,9.4,5
0,0.028,3.35,9.9,5
0.65,0.08,3.04,9.4,5
0.58,0.039,3.06,8.6,5
0.47,0.037,2.89,9.6,3
0.29,0.029,3.35,10.1,5
0.3,0.036,3.58,9.4,5
0.35,0.048,3.08,8.9,5
0.42,0.047,3.06,11.1,4
0.45,0.048,3.08,10.3,4
0.37,0.054,3.32,9.8,4
0.31,0.049,3.08,8.8,5
0.2,0.04,3.15,9.9,5
0.19,0.042,3.15,9.9,5
0.19,0.041,3.15,9.9,5
0.05,0.038,3.36,9.2,5
0.26,0.05,3.24,9.5,4
0.05,0.038,3.36,9.2,5
0.23,0.047,3.28,9.8,5
0.1,0.042,3.36,9.3,5
0.35,0.055,3.58,10,5
0.58,0.044,3.15,9,5
0.43,0.033,3.08,8.9,5
0.33,0.037,3.26,9.6,5
0.43,0.039,3.08,8.9,5
0.44,0.041,3.12,8.9,5
0.32,0.048,3.08,11.4,5
0.58,0.044,3.15,9,5
0.28,0.034,3.14,9.7,5
1,0.047,2.96,9.6,5
0.35,0.039,2.96,10,5
0.25,0.048,3.36,9.5,4
0.39,0.034,3.18,11.5,5
0.26,0.043,3.08,9.5,5
0.37,0.042,2.99,10,5
0.26,0.043,3.08,9.5,5
0.26,0.042,3.07,9.5,5
0.43,0.035,3.15,11.5,5
0.25,0.054,3.12,9.2,5
0.33,0.05,3.25,8.6,5
0.71,0.15,3.12,9.8,5
0.33,0.043,3.44,10.8,5
0.33,0.043,3.44,10.8,5
0.44,0.046,3.14,10.2,4
0.27,0.049,3.19,9.9,5
0.18,0.046,3.38,10.1,4
0.34,0.046,3.29,10.4,5
0.41,0.045,3.09,9.4,5
0.06,0.052,3.32,9.3,5
0.47,0.048,3.19,9.5,5
0.27,0.064,3.66,8.9,5
0.22,0.036,3.03,10.2,5
0.47,0.071,2.98,9.2,5
0.17,0.04,3.09,9.5,4
0.44,0.05,3.19,9.3,4
0.46,0.244,2.87,9.1,3
0.37,0.06,3.54,10.7,5
0.24,0.044,3.21,9.7,5
0.34,0.035,3.05,11,5
0.3,0.047,3.22,10.8,4
0.3,0.039,3.01,10.7,5
0.32,0.043,3.24,10.7,4
0.48,0.048,2.95,8.8,5
0.4,0.05,3.14,10.5,5
0.1,0.046,3.29,10,5
0.52,0.029,3.07,10.4,5
0.38,0.038,3.03,9.2,5
0.34,0.048,3.1,9,5
0.42,0.035,2.99,11.3,5
0.55,0.05,3.12,10.3,4
0.52,0.029,3.07,10.4,5
0.41,0.049,2.96,10,5
0.24,0.093,3.41,9,5
0.2,0.077,3.3,8.7,4
0.28,0.07,3.34,9.4,5
0.26,0.079,3.31,9.5,5
0.26,0.073,3.3,9.5,5
0.38,0.054,3.22,9.7,5
0.38,0.054,3.22,9.7,5
0.3,0.048,2.97,10.9,5
0.44,0.037,3.18,10,5
0.34,0.051,3.49,9.8,5
0.69,0.041,3.06,8.6,5
0.31,0.045,3.09,8.8,5
0.4,0.033,3.44,11.4,5
0.39,0.036,3.12,10.7,5
0.69,0.041,3.06,8.6,5
0.4,0.054,3.04,9.3,4
0.4,0.047,3.28,10.7,5
0.17,0.047,3.26,10,4
0.13,0.04,3.29,10.5,5
0.34,0.037,3.31,9.7,5
0.13,0.04,3.29,10.5,5
0.16,0.042,3.28,9,5
0.45,0.042,2.93,10.8,5
0.4,0.044,2.96,10.9,5
0.27,0.047,3.27,9.5,5
0.31,0.043,3.17,9.1,5
0.42,0.053,2.99,10,5
0.34,0.042,3.25,10.4,5
0.46,0.058,3.14,9.5,5
0.49,0.034,2.99,11.5,5
0.49,0.052,3.17,10.2,5
0.46,0.058,3.14,9.5,5
0.3,0.048,3.25,10.5,5
0.32,0.047,3.26,10.5,5
0.18,0.041,3.14,8.9,5
0.32,0.031,3.03,10.6,5
0.32,0.041,3.17,9.5,5
0.23,0.038,3.14,9.5,5
0.17,0.042,3.13,8.9,5
0.18,0.041,3.14,8.9,5
0,0.042,3.31,9.4,4
0.3,0.037,3.47,9,4
0.36,0.034,3.42,10.5,4
0.32,0.03,3.52,10.4,5
0.27,0.039,3.23,9.5,5
0.38,0.037,3.21,11,5
0.45,0.03,3.14,9.6,5
0.33,0.045,3.42,11.4,5
0.41,0.042,3,9.1,5
0.4,0.036,2.97,9.2,5
0.25,0.044,3.23,9.4,5
0.45,0.03,3.14,9.6,5
0.33,0.045,3.42,11.4,5
0.64,0.065,3.12,8.9,5
0.37,0.048,3.09,9.3,5
0.47,0.068,3.1,9.6,5
0.38,0.046,3.1,9,5
0.32,0.047,3.19,9.4,5
0.38,0.046,3.1,9,5
0.39,0.064,3.29,9.7,5
0.42,0.045,3.17,10.6,5
0.38,0.301,2.94,9.2,5
0.42,0.045,3.17,10.6,5
0.38,0.039,3.1,10.5,5
0.42,0.033,3.2,12.4,3
0.31,0.036,3.03,10.5,5
0.39,0.024,3.17,10.9,5
0.48,0.042,3.19,9.7,5
0.22,0.037,3.29,10.1,5
0.72,0.042,2.92,9.4,4
0.44,0.051,3.15,10.4,5
0.33,0.049,3.13,9.3,5
0.73,0.138,3.08,9.2,5
0.35,0.036,3.46,9.9,5
0.29,0.04,3.04,9.4,5
0.47,0.037,3.21,10.9,5
0.31,0.169,3.2,9.4,5
0.47,0.037,3.21,10.9,5
0.29,0.04,3.04,9.4,5
0.74,0.039,3.02,8.7,5
0.22,0.03,3,11.6,4
0.22,0.031,3,11.6,4
0.28,0.042,2.96,11.5,5
0.4,0.032,3.22,11.4,5
0.71,0.038,2.95,9.3,5
0.59,0.049,2.98,9.5,5
0.54,0.04,2.94,10.5,5
0.42,0.046,3.08,9.6,5
0.34,0.039,3.32,10.8,5
0.53,0.038,3.03,8.8,5
0.26,0.093,3.44,11,5
0.43,0.052,2.85,9.5,5
0.41,0.05,2.85,9.5,5
0.3,0.048,3.29,10,5
0.3,0.048,3.29,10,5
0.23,0.029,3.04,10.4,5
0.39,0.042,2.96,10.4,4
0.3,0.048,3.29,10,5
0.3,0.04,3.43,9,5
0.41,0.04,2.92,11.4,5
0.16,0.051,3.22,9.5,4
0.41,0.04,2.92,11.4,5
0.24,0.058,3.15,8.9,5
0.47,0.168,2.9,9.3,5
0.29,0.042,3.77,9.5,5
0.48,0.043,2.9,11.6,5
0.24,0.069,3.15,10.2,4
0.02,0.038,3.36,9.3,5
0.35,0.057,3.04,11,3
0.74,0.044,3.13,10.2,5
0.49,0.042,3.1,10.1,4
0.24,0.051,3.32,9.1,5
0.74,0.056,3.06,10,4
0.49,0.042,3.13,11.3,5
0.49,0.051,3.3,9.6,5
0.24,0.048,3,10.1,4
0.49,0.051,3.3,9.6,5
0.49,0.042,3.13,11.3,5
0.24,0.053,3.17,9.6,5
0.74,0.051,2.99,9.2,5
0.49,0.05,3.23,9.5,5
0.49,0.052,3.16,8.9,5
0.74,0.05,3.03,8.8,5
0.24,0.057,3.16,10.5,5
0.49,0.061,3.08,9.4,5
0.49,0.048,3.01,9.3,5
0.49,0.054,2.99,9.2,5
0.74,0.069,3,9.2,5
0.74,0.044,3.46,10.2,5
0.24,0.046,3.19,9.8,5
0.49,0.048,3.01,9.3,5
0.49,0.052,3.15,11.4,5
0.24,0.057,2.99,9.5,4
0.49,0.028,3.22,10.7,5
0.24,0.057,2.99,9.5,4
0.24,0.053,3.14,9.1,3
0.74,0.037,2.99,9.3,5
0.49,0.031,3.06,11.1,5
0.49,0.046,3.14,10,5
0.24,0.039,3.41,10.4,5
0.49,0.04,3.05,10.1,5
0.24,0.034,3.13,9.2,5
0.49,0.053,3.16,10.5,5
0.49,0.061,3.23,10,5
0.49,0.04,3.05,10.1,5
0.24,0.034,3.13,9.2,5
0.49,0.041,3.25,11,5
0.74,0.037,3.04,8.7,5
0.74,0.037,3.04,8.7,5
0.49,0.028,2.91,9.9,5
0.24,0.029,3.16,9.1,4
0.49,0.028,2.91,9.9,5
0.49,0.045,3.27,9,4
0.49,0.036,2.96,10.5,4
0.49,0.059,3.15,10.1,5
0.49,0.059,3.15,10.1,5
0.49,0.046,3.06,9.2,5
0.49,0.055,3.33,9.9,5
0.74,0.038,3.21,9.9,5
0.74,0.041,3.21,9.9,5
0.49,0.045,3.16,10.3,5
0.49,0.048,2.88,10.5,4
0.49,0.05,3.31,10.6,4
0.74,0.046,3.58,10.1,5
